chance,"Advance to ""Go"". (Collect $200) ",move_to,[0]
chance,"Advance to Illinois Ave If you pass Go, collect $200",move_to,[23]
chance,"Advance to St. Charles Place. If you pass Go, collect $200.",move_to,[11]
chance,Advance token to nearest Utility.,move_to,"[12,28]"
chance,Advance token to the nearest Railroad ,move_to,"[5, 15, 25, 25]"
chance,Bank pays you dividend of $50. ,finance,[50]
chance,Get out of Jail Free. ,special,[0]
chance,Go Back Three Spaces.,move_steps,[-3]
chance,Go to Jail,move_to,[10]
chance,"Make general repairs on all your property: For each house pay $25, For each hotel  $100.",finance,[-100]
chance,Pay poor tax of $15,finance,[15]
chance,"Take a trip to Reading Railroad.  If you pass Go, collect $200. ",move_to,[5]
chance,Take a walk on the Boardwalk. Advance token to Boardwalk. ,move_to,[39]
chance,You have been elected Chairman of the Board. Pay each player $50,finance,[50]
chance,Your building {and} loan matures. Receive {Collect} $150. ,finance,[150]
chance,You have won a crossword competition. Collect $100.,finance,[100]